Loci	N30	T30	O30	N30p	T30p	O30p	N20	T20	N20p	T20p
07_6976304	NA	-0.041	-0.035	NA	0.930	0.930	NA	-0.048	NA	0.910
07_6976318	NA	-0.041	-0.035	NA	0.928	0.928	NA	-0.031	NA	0.956
07_17114696	-0.306	-0.317	-0.312	0.090	0.120	0.011	-0.333	-0.317	0.106	0.108
07_17114699	-0.200	-0.149	-0.177	0.313	0.560	0.178	-0.227	-0.149	0.286	0.552
07_17114997	0.126	0.170	0.149	0.344	0.240	0.094	0.143	0.165	0.366	0.305
07_18169100	0.483	-0.013	0.320	0.074	0.990	0.074	-0.016	-0.015	0.982	0.986
07_18594989	-0.043	-0.014	-0.034	0.919	0.987	0.906	-0.051	-0.016	0.895	0.984
07_18595092	-0.042	-0.026	-0.036	0.931	0.961	0.894	-0.051	-0.031	0.908	0.965
07_21721791	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
07_26980804	-0.102	NA	-0.104	0.733	NA	0.733	-0.087	NA	0.781	NA
07_30109463	-0.014	NA	-0.014	0.988	NA	0.988	-0.017	NA	0.979	NA
07_33724550	0.639	0.114	0.379	0.002	0.371	0.002	0.596	0.137	0.003	0.326
07_37146456	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
07_55881559	NA	-0.028	-0.026	NA	0.972	0.972	NA	-0.015	NA	0.983
07_55881588	0.254	0.089	0.170	0.300	0.498	0.164	0.337	0.118	0.244	0.445
07_57738811	-0.004	0.135	0.058	0.608	0.292	0.358	-0.100	0.108	0.429	0.373
07_61188067	0.013	0.468	0.233	0.623	0.023	0.032	-0.025	0.468	0.627	0.015
07_67421883	0.140	0.305	0.223	0.337	0.094	0.048	0.169	0.297	0.319	0.084
07_67732378	-0.018	NA	-0.020	0.978	NA	0.978	0.000	NA	1.000	NA
07_69052000	NA	-0.015	-0.015	NA	0.988	0.988	NA	-0.016	NA	0.983
07_71175268	NA	-0.767	-0.767	NA	0.001	0.001	NA	-0.784	NA	0.001
07_71175273	NA	-0.407	-0.407	NA	0.016	0.016	NA	-0.435	NA	0.013
07_71175278	NA	-0.767	-0.767	NA	0.001	0.001	NA	-0.784	NA	0.001
07_71175285	NA	-0.652	-0.652	NA	0.001	0.001	NA	-0.692	NA	0.001
07_71175291	NA	-0.013	-0.013	NA	0.990	0.990	NA	NA	NA	NA
07_76084896	0.069	0.489	0.278	0.456	0.003	0.013	-0.017	0.402	0.594	0.019
07_81280604	-0.031	0.000	-0.022	0.958	1.000	0.958	-0.018	0.000	0.987	1.000
07_83120006	-0.233	0.548	0.133	0.180	0.004	0.196	-0.265	0.373	0.153	0.089
07_90754978	0.181	0.242	0.211	0.226	0.116	0.055	0.067	0.127	0.496	0.375
07_95165949	-0.071	0.216	0.090	0.857	0.305	0.400	-0.077	0.208	0.823	0.320
07_95165950	-0.034	-0.032	-0.033	0.954	0.943	0.901	-0.037	-0.036	0.948	0.944
07_95165951	-0.016	0.000	-0.011	0.990	1.000	0.990	-0.018	0.000	0.976	1.000
07_98471213	-0.027	NA	-0.026	0.957	NA	0.957	-0.033	NA	0.949	NA
07_98636021	0.000	-0.000	-0.001	1.000	1.000	1.000	0.000	NA	1.000	NA
07_109902539	-0.169	0.383	0.074	0.392	0.061	0.390	-0.192	0.373	0.343	0.072
07_110734763	0.028	0.273	0.161	0.640	0.130	0.154	-0.127	0.159	0.606	0.340
07_110734919	-0.029	-0.028	-0.029	0.950	0.965	0.917	-0.033	-0.031	0.949	0.959
07_114111117	-0.015	NA	-0.015	0.987	NA	 0.987	0.000	NA	1.000	NA
07_117876108	NA	-0.014	-0.014	NA	0.987	 0.987	NA	-0.015	NA	0.993
07_119210420	0.165	-0.047	0.059	0.237	0.543	0.382	0.183	-0.188	0.255	0.255
07_119304564	0.391	0.037	0.222	0.040	0.546	0.044	0.350	0.066	0.063	0.505
07_119304569	0.440	0.078	0.269	0.034	0.431	0.029	0.422	0.113	0.031	0.383
07_119390588	0.138	-0.101	0.047	0.365	0.651	0.383	0.028	-0.100	0.647	0.722
07_121298449	0.449	-0.032	0.303	0.039	0.959	0.053	0.530	-0.033	0.030	0.947
07_121298457	-0.014	NA	-0.014	0.984	NA	 0.984	-0.016	NA	0.987	NA
07_121298501	-0.031	NA	-0.031	0.960	NA	 0.960	-0.034	NA	0.954	NA
07_123119938	NA	-0.014	-0.013	NA	0.989	 0.989	NA	-0.016	NA	0.985
07_123119958	NA	-0.014	-0.013	NA	0.994	 0.994	NA	-0.016	NA	0.987
07_123119997	NA	-0.014	-0.013	NA	0.986	 0.986	NA	-0.016	NA	0.983
07_123120041	NA	-0.015	-0.014	NA	0.984	 0.984	NA	-0.017	NA	0.984
07_127603013	-0.015	-0.034	-0.027	0.992	0.954	0.946	0.000	-0.034	1.000	0.956
08_5010831	0.444	-0.191	0.062	0.041	0.198	0.333	0.439	-0.222	0.046	0.162
08_7412087	0.051	0.181	0.116	0.537	0.212	0.225	0.045	0.215	0.530	0.201
08_9292995	1.000	0.000	0.635	0.011	1.000	0.011	1.000	0.000	0.024	1.000
08_10000743	NA	-0.014	-0.013	NA	0.988	0.988	NA	-0.015	NA	0.981
08_11605218	0.099	0.211	0.152	0.407	0.173	0.141	0.036	0.119	0.581	0.395
08_14553863	0.120	0.323	0.223	0.340	0.050	0.027	0.070	0.243	0.468	0.117
08_14554034	NA	-0.015	-0.014	NA	0.986	0.986	NA	-0.016	NA	0.984
08_15738917	0.298	0.183	0.243	0.051	0.246	0.021	0.310	0.148	0.070	0.345
08_18198456	-0.079	NA	-0.080	0.788	NA	0.788	-0.057	NA	0.893	NA
08_18198462	-0.079	NA	-0.080	0.808	NA	0.808	-0.057	NA	0.895	NA
08_18198502	0.447	-0.000	0.397	0.050	1.000	0.050	-0.037	-0.000	0.956	1.000
08_20674562	-0.014	NA	-0.014	0.986	NA	0.986	-0.000	NA	1.000	NA
08_26757674	-0.070	0.095	0.031	0.809	0.479	0.574	-0.088	0.077	0.755	0.541
08_29850749	NA	0.660	0.660	NA	0.028	0.028	NA	-0.000	NA	1.000
08_29850800	NA	0.660	0.659	NA	0.038	0.038	NA	-0.000	NA	1.000
08_29850807	NA	0.659	0.659	NA	0.045	0.045	NA	0.000	NA	1.000
08_31716911	0.375	0.098	0.239	0.066	0.469	0.043	-0.071	-0.119	0.840	0.614
08_33236807	NA	-0.013	-0.013	NA	0.988	0.988	NA	-0.015	NA	0.978
08_34341931	-0.050	0.098	0.011	0.637	0.466	0.559	-0.017	0.077	0.694	0.559
08_37401697	0.000	-0.118	-0.095	1.000	0.581	0.581	-0.000	-0.100	1.000	0.707
08_39076516	0.361	-0.072	0.204	0.103	0.794	0.104	0.189	-0.082	0.410	0.782
08_39731708	-0.056	-0.013	-0.043	0.847	0.983	0.831	-0.051	-0.015	0.900	0.984
08_39916215	-0.018	NA	-0.020	0.987	NA	0.987	-0.020	NA	0.973	NA
08_39916377	NA	-0.014	-0.012	NA	0.983	0.983	NA	-0.015	NA	0.984
08_43670323	-0.014	NA	-0.014	0.988	NA	0.988	-0.016	NA	0.984	NA
08_48885470	-0.070	0.373	0.157	0.518	0.032	0.064	-0.138	0.285	0.342	0.094
08_48885690	-0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
08_48885702	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
08_48929702	NA	-0.013	-0.012	NA	0.987	0.987	NA	-0.015	NA	0.991
08_48929730	NA	-0.013	-0.013	NA	0.985	0.985	NA	-0.015	NA	0.981
08_48929743	NA	-0.014	-0.014	NA	0.984	0.984	NA	-0.015	NA	0.981
08_48929766	NA	0.661	0.661	NA	0.031	0.031	NA	0.660	NA	0.054
08_49942464	0.223	0.308	0.265	0.139	0.064	0.014	0.141	0.227	0.343	0.181
08_50256065	0.095	0.184	0.139	0.396	0.259	0.156	0.082	0.224	0.457	0.194
08_68154329	0.218	-0.013	0.110	0.155	0.596	0.154	0.202	-0.060	0.210	0.520
08_68670108	0.060	0.433	0.282	0.566	0.019	0.019	0.068	0.408	0.578	0.035
08_72050114	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
08_78988377	-0.031	0.319	0.123	0.611	0.080	0.218	-0.116	0.077	0.466	0.538
08_84582527	0.449	0.136	0.292	0.039	0.360	0.012	-0.055	-0.100	0.905	0.701
08_86122121	-0.029	NA	-0.028	0.953	NA	0.953	-0.034	NA	0.957	NA
08_86122142	-0.014	NA	-0.014	0.988	NA	0.988	-0.017	NA	0.981	NA
08_89365042	0.150	0.409	0.266	0.274	0.034	0.019	0.171	0.328	0.274	0.085
08_90732989	-0.070	-0.027	-0.056	0.830	0.969	0.805	-0.069	-0.015	0.850	0.978
08_90733031	-0.063	-0.027	-0.050	0.869	0.961	0.834	-0.053	-0.015	0.917	0.982
08_90733055	-0.023	0.218	0.106	0.640	0.176	0.178	-0.091	0.088	0.567	0.441
08_90733214	0.482	-0.029	0.259	0.088	0.965	0.121	0.478	-0.016	0.094	0.977
08_92525005	0.050	0.282	0.171	0.521	0.080	0.089	-0.002	0.216	0.671	0.174
08_101451510	-0.000	-0.029	-0.021	1.000	0.956	0.956	0.000	-0.031	1.000	0.957
08_104055289	0.000	0.483	0.324	1.000	0.073	0.073	0.000	-0.000	1.000	1.000
08_105954297	0.380	-0.134	0.114	0.034	0.294	0.137	0.255	-0.112	0.134	0.359
08_106196900	0.161	0.356	0.271	0.341	0.029	0.021	0.132	0.291	0.422	0.094
09_1227064	1.000	-0.041	0.425	0.022	0.925	0.022	1.000	-0.031	0.021	0.955
09_4111061	NA	0.482	0.484	NA	0.083	0.083	NA	0.000	NA	1.000
09_4111073	NA	-0.029	-0.024	NA	0.954	0.954	NA	0.000	NA	1.000
09_4111080	NA	-0.111	-0.107	NA	0.640	0.640	NA	-0.085	NA	0.775
09_5353951	0.255	0.079	0.153	0.191	0.437	0.101	0.151	0.023	0.417	0.576
09_8163749	-0.015	NA	-0.015	0.983	NA	0.983	-0.018	NA	0.988	NA
09_9377834	0.659	NA	0.660	0.054	NA	0.054	0.658	NA	0.051	NA
09_9378141	0.057	0.436	0.266	0.556	0.021	0.033	0.068	0.414	0.574	0.033
09_12244707	0.010	0.065	0.037	0.584	0.490	0.395	-0.190	0.000	0.259	0.649
09_13182476	-0.055	1.000	0.469	0.899	0.001	0.012	-0.057	1.000	0.894	0.002
09_13182478	0.000	0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
09_13182485	-0.016	NA	-0.016	0.979	NA	0.979	-0.018	NA	0.988	NA
09_13182542	-0.000	1.000	0.680	1.000	0.014	0.014	NA	1.000	NA	0.017
09_13182709	0.366	0.119	0.244	0.050	0.330	0.024	0.404	0.029	0.044	0.582
09_13560387	0.433	-0.007	0.223	0.015	0.723	0.055	0.404	-0.179	0.036	0.367
09_13766932	0.318	0.257	0.286	0.056	0.114	0.009	0.286	0.233	0.121	0.134
09_14226314	-0.051	-0.048	-0.049	0.908	0.919	0.835	-0.059	-0.051	0.863	0.892
09_14226348	-0.000	1.000	0.654	1.000	0.017	0.017	0.000	1.000	1.000	0.015
09_14226614	0.130	-0.013	0.058	0.323	0.608	0.313	0.094	-0.102	0.431	0.418
09_28693030	0.081	-0.121	-0.012	0.534	0.603	0.683	0.062	-0.148	0.579	0.509
09_36117192	-0.000	-0.000	-0.000	1.000	1.000	1.000	NA	-0.000	NA	1.000
09_36117486	NA	0.659	0.659	NA	0.042	0.042	NA	0.659	NA	0.054
09_42209594	0.373	0.147	0.247	0.073	0.326	0.036	0.361	-0.138	0.116	0.541
09_45818572	0.063	-0.060	0.004	0.510	0.567	0.505	-0.010	-0.097	0.740	0.486
09_50822072	0.150	0.152	0.151	0.298	0.297	0.118	0.043	0.074	0.551	0.505
09_56697005	-0.120	-0.055	-0.096	0.655	0.891	0.585	-0.116	-0.055	0.748	0.902
09_56697006	-0.098	-0.036	-0.077	0.744	0.953	0.705	-0.091	-0.036	0.826	0.955
09_56697007	-0.098	-0.036	-0.077	0.760	0.945	0.718	-0.091	-0.036	0.791	0.951
09_56697047	0.000	0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
09_57635124	1.000	-0.061	0.297	0.025	0.844	0.028	1.000	-0.065	0.021	0.867
09_66205052	-0.083	0.199	0.050	0.478	0.219	0.414	-0.107	0.108	0.460	0.435
09_66205176	-0.014	NA	-0.014	0.995	NA	0.995	-0.016	NA	0.980	NA
09_66205187	-0.014	NA	-0.014	0.989	NA	0.989	-0.016	NA	0.979	NA
09_66205302	-0.016	-0.000	-0.011	0.991	1.000	0.991	0.000	0.000	1.000	1.000
09_66205305	NA	0.660	0.660	NA	0.043	0.043	NA	0.660	NA	0.046
09_70610426	0.118	0.318	0.211	0.340	0.053	0.026	0.077	0.211	0.477	0.210
09_70610526	-0.075	0.237	0.068	0.447	0.133	0.230	-0.114	0.108	0.382	0.419
09_70874575	-0.047	0.019	-0.021	0.550	0.665	0.525	-0.017	-0.164	0.659	0.476
09_76759112	-0.170	-0.051	-0.111	0.208	0.501	0.211	-0.109	-0.166	0.418	0.274
09_79174243	0.656	0.125	0.377	0.002	0.311	0.001	0.621	0.099	0.006	0.398
09_80021263	NA	-0.015	-0.015	NA	0.992	0.992	NA	-0.000	NA	1.000
09_80021401	0.255	0.148	0.199	0.116	0.290	0.075	0.268	0.132	0.107	0.324
09_80021464	0.216	0.089	0.151	0.191	0.391	0.109	0.196	0.074	0.264	0.428
09_80215139	0.146	0.101	0.123	0.319	0.385	0.160	0.088	0.065	0.463	0.519
09_82077138	-0.226	-0.215	-0.221	0.139	0.182	0.044	-0.127	-0.261	0.359	0.113
09_82196073	0.286	0.482	0.365	0.216	0.081	0.028	0.360	0.480	0.186	0.080
09_82564249	0.175	0.224	0.198	0.336	0.271	0.106	-0.088	0.218	0.766	0.278
09_85039680	-0.180	-0.059	-0.142	0.351	0.862	0.303	-0.154	-0.048	0.503	0.910
09_85039952	0.090	-0.075	0.003	0.414	0.425	0.516	0.046	-0.112	0.547	0.383
09_85063281	0.415	0.268	0.339	0.033	0.120	0.005	0.351	0.224	0.085	0.198
09_87164911	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
09_89194606	-0.078	0.285	0.104	0.498	0.099	0.263	-0.069	0.253	0.493	0.147
09_94870110	-0.014	-0.014	-0.014	0.982	0.977	0.959	-0.017	-0.015	0.977	0.987
09_96244155	-0.032	0.323	0.122	0.666	0.087	0.228	-0.046	0.165	0.637	0.362
09_102052403	1.000	-0.042	0.576	0.001	0.931	0.001	1.000	-0.048	0.018	0.908
09_103450180	-0.018	-0.000	-0.013	0.983	1.000	0.983	0.000	0.000	1.000	1.000
09_103450182	-0.037	-0.000	-0.029	0.946	1.000	0.946	-0.020	0.000	0.974	1.000
09_103450183	-0.018	-0.000	-0.013	0.979	1.000	0.979	0.000	0.000	1.000	1.000
10_836091	0.216	0.036	0.119	0.205	0.573	0.148	0.028	0.065	0.654	0.484
10_2789761	NA	-0.015	-0.016	NA	0.984	0.984	NA	-0.000	NA	1.000
10_2811613	0.367	-0.016	0.246	0.126	0.984	0.139	-0.034	-0.018	0.968	0.987
10_2811748	-0.061	-0.013	-0.048	0.879	0.990	0.870	-0.053	-0.015	0.905	0.985
10_8070304	0.421	0.054	0.231	0.077	0.542	0.059	0.413	-0.043	0.092	0.588
10_9263799	NA	-0.014	-0.014	NA	0.982	0.982	NA	-0.016	NA	0.988
10_10898702	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
10_10940742	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
10_11658871	-0.033	NA	-0.032	0.943	NA	0.943	-0.036	NA	0.961	NA
10_11773207	-0.017	NA	-0.016	0.984	NA	0.984	-0.020	NA	0.979	NA
10_11773243	0.268	0.030	0.154	0.098	0.584	0.141	0.180	-0.033	0.281	0.599
10_11773461	0.078	0.028	0.051	0.428	0.529	0.315	0.077	-0.059	0.515	0.524
10_15771593	-0.015	NA	-0.016	0.981	NA	0.981	0.000	NA	1.000	NA
10_22995276	0.171	0.087	0.128	0.273	0.435	0.158	0.268	0.043	0.136	0.532
10_29942966	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
10_29943069	0.382	-0.073	0.156	0.039	0.547	0.140	0.283	-0.097	0.129	0.451
10_29943231	0.269	-0.095	0.081	0.100	0.516	0.296	0.283	-0.130	0.131	0.405
10_30041342	-0.000	-0.071	-0.061	1.000	0.852	0.852	NA	-0.074	NA	0.839
10_30041364	-0.014	-0.000	-0.008	0.991	1.000	0.991	NA	0.000	NA	1.000
10_32358030	-0.070	-0.114	-0.096	0.803	0.608	0.478	-0.051	-0.138	0.920	0.580
10_32914100	0.398	0.093	0.247	0.021	0.418	0.015	0.347	0.019	0.047	0.572
10_43069342	0.320	-0.054	0.149	0.066	0.601	0.090	0.189	-0.200	0.279	0.329
10_43069434	-0.014	NA	-0.014	0.988	NA	0.988	-0.017	NA	0.988	NA
10_44560801	0.787	-0.114	0.302	0.006	0.630	0.021	0.786	-0.138	0.007	0.540
10_49026567	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	NA	1.000	NA
10_49026598	-0.041	-0.027	-0.035	0.932	0.961	0.895	-0.033	0.000	0.951	1.000
10_49026734	-0.015	-0.000	-0.010	0.989	1.000	0.989	-0.016	-0.000	0.981	1.000
10_51730606	0.312	0.034	0.178	0.080	0.638	0.115	0.242	0.028	0.199	0.640
10_53787049	0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	-0.000	1.000	1.000
10_53787092	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	0.000	1.000	1.000
10_53787120	-0.014	-0.000	-0.010	0.983	1.000	0.983	-0.000	0.000	1.000	1.000
10_57386674	-0.028	-0.000	-0.021	0.959	1.000	0.959	-0.016	-0.000	0.989	1.000
10_57386990	NA	0.658	0.658	NA	0.062	0.062	NA	0.658	NA	0.061
10_66841247	-0.006	0.117	0.057	0.661	0.371	0.305	-0.081	0.099	0.552	0.450
10_70091610	0.769	-0.051	0.342	0.001	0.509	0.004	0.836	-0.162	0.001	0.274
10_70091766	0.588	-0.219	0.176	0.001	0.148	0.065	0.610	-0.280	0.002	0.087
10_70171880	NA	-0.014	-0.014	NA	0.985	0.985	NA	-0.016	NA	0.987
10_70172047	-0.027	-0.013	-0.022	0.966	0.989	0.956	-0.016	-0.015	0.982	0.986
10_72365603	-0.180	0.209	0.069	0.339	0.186	0.383	-0.184	0.066	0.406	0.510
10_73097865	0.221	0.186	0.208	0.144	0.261	0.065	0.143	0.039	0.357	0.629
10_73901717	0.165	0.204	0.189	0.374	0.206	0.105	0.155	0.115	0.395	0.390
10_75212910	-0.014	0.000	-0.009	0.979	1.000	0.979	-0.017	NA	0.987	NA
10_78358952	0.359	0.077	0.228	0.064	0.511	0.061	0.333	0.068	0.097	0.576
10_82980962	-0.086	-0.026	-0.068	0.713	0.959	0.687	-0.088	-0.015	0.769	0.985
10_82981031	0.290	-0.068	0.113	0.182	0.816	0.192	-0.051	-0.048	0.896	0.922
10_83251417	0.232	0.291	0.262	0.115	0.070	0.017	0.268	0.200	0.134	0.215
10_83703691	-0.000	-0.000	-0.000	1.000	1.000	1.000	-0.000	NA	1.000	NA
10_85227038	0.701	0.191	0.443	0.013	0.252	0.003	0.618	0.197	0.034	0.229
10_85541724	0.318	0.202	0.261	0.058	0.189	0.016	0.414	0.119	0.029	0.392
10_86451480	0.327	0.258	0.292	0.052	0.086	0.010	0.282	0.191	0.142	0.215
11_1409434	0.139	0.062	0.100	0.292	0.472	0.199	0.202	0.014	0.222	0.611
11_2650137	0.364	0.021	0.163	0.094	0.610	0.097	0.205	0.025	0.366	0.600
11_4819937	0.661	-0.027	0.318	0.042	0.965	0.075	0.000	-0.031	1.000	0.957
11_5708935	0.658	0.000	0.525	0.054	1.000	0.054	0.658	-0.000	0.073	1.000
11_5708946	0.000	-0.028	-0.018	1.000	0.966	0.966	0.000	-0.031	1.000	0.966
11_7743889	-0.033	0.000	-0.027	0.954	1.000	0.954	-0.037	-0.000	0.938	1.000
11_7743949	0.272	0.054	0.161	0.103	0.527	0.079	0.174	-0.054	0.313	0.558
11_7744027	0.419	0.183	0.297	0.013	0.254	0.013	0.341	0.165	0.094	0.278
11_7744045	0.429	0.075	0.244	0.020	0.475	0.029	0.347	0.065	0.052	0.495
11_10141898	-0.167	0.158	-0.005	0.239	0.252	0.438	-0.299	0.007	0.085	0.618
11_10600403	-0.046	-0.122	-0.085	0.536	0.324	0.282	-0.073	-0.112	0.448	0.396
11_11612822	-0.086	0.368	0.198	0.729	0.041	0.103	-0.107	0.255	0.683	0.184
11_11612914	0.014	0.042	0.029	0.661	0.552	0.463	0.015	-0.065	0.690	0.563
11_12936796	0.414	0.231	0.321	0.024	0.197	0.010	0.231	0.133	0.225	0.400
11_13615989	0.093	0.145	0.119	0.442	0.346	0.222	0.104	0.081	0.417	0.483
11_14026149	0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	-0.000	1.000	1.000
11_15548710	-0.032	0.032	-0.002	0.676	0.621	0.586	-0.010	-0.158	0.714	0.499
11_15548896	NA	-0.013	-0.013	NA	0.982	0.982	NA	-0.015	NA	0.985
11_15592241	0.065	0.097	0.080	0.487	0.407	0.299	0.065	0.258	0.516	0.148
11_18407461	0.241	0.226	0.234	0.155	0.162	0.044	0.140	0.003	0.396	0.700
11_24241844	0.199	0.209	0.204	0.222	0.179	0.058	0.224	0.082	0.211	0.456
11_27647064	0.376	0.055	0.216	0.028	0.509	0.028	0.325	-0.007	0.090	0.621
11_27664333	-0.400	-0.030	-0.338	0.020	0.947	0.019	-0.409	-0.016	0.029	0.985
11_28712071	0.000	0.290	0.229	1.000	0.193	0.193	0.000	-0.048	1.000	0.910
11_36368131	-0.152	0.072	-0.015	0.442	0.467	0.608	-0.148	-0.130	0.533	0.396
11_36368223	0.483	0.370	0.421	0.063	0.135	0.013	0.479	-0.031	0.113	0.954
11_44385710	0.035	0.170	0.085	0.594	0.378	0.267	-0.081	0.165	0.593	0.373
11_44385760	-0.014	NA	-0.014	0.990	NA	0.990	-0.018	NA	0.983	NA
11_47473070	0.483	-0.014	0.312	0.072	0.978	0.092	0.478	-0.015	0.079	0.985
11_49646022	-0.061	0.369	0.150	0.869	0.138	0.255	-0.071	0.480	0.837	0.096
11_49646033	-0.091	-0.075	-0.083	0.731	0.822	0.598	-0.091	-0.085	0.760	0.779
11_50907665	0.325	0.209	0.263	0.088	0.186	0.017	0.307	0.082	0.130	0.440
11_61621445	-0.000	-0.000	-0.000	1.000	1.000	1.000	0.000	0.000	1.000	1.000
11_61621522	0.161	0.428	0.295	0.263	0.010	0.005	0.183	0.337	0.245	0.067
11_61621573	0.132	0.440	0.286	0.326	0.004	0.007	0.127	0.352	0.365	0.055
11_61621588	-0.000	1.000	0.667	1.000	0.010	0.010	0.000	NA	1.000	NA
11_61621593	-0.000	1.000	0.667	1.000	0.013	0.013	0.000	NA	1.000	NA
11_63279578	-0.056	-0.026	-0.045	0.869	0.968	0.843	-0.051	-0.031	0.893	0.959
11_63776257	-0.114	0.209	0.047	0.408	0.164	0.366	-0.206	0.179	0.248	0.245
11_63776369	NA	-0.030	-0.031	NA	0.956	0.956	NA	-0.033	NA	0.949
11_63776378	NA	-0.046	-0.046	NA	0.927	0.927	NA	-0.051	NA	0.904
11_67069957	0.658	NA	0.657	0.060	NA	0.060	0.656	NA	0.073	NA
11_67069977	0.657	NA	0.655	0.065	NA	0.065	0.655	NA	0.077	NA
11_73622073	0.537	-0.016	0.391	0.010	0.990	0.010	0.530	-0.016	0.021	0.983
11_73622089	0.538	-0.016	0.393	0.024	0.990	0.025	0.530	-0.016	0.024	0.986
11_73622101	0.538	-0.015	0.399	0.021	0.984	0.024	0.530	-0.016	0.030	0.985
11_73622213	0.287	-0.014	0.209	0.217	0.978	0.233	0.277	-0.016	0.237	0.984
11_73622280	0.290	-0.014	0.210	0.188	0.989	0.197	0.279	-0.015	0.224	0.988
12_3215872	0.529	-0.093	0.230	0.002	0.425	0.021	0.380	-0.234	0.038	0.158
12_4049774	0.360	0.166	0.272	0.030	0.258	0.006	0.458	-0.005	0.017	0.698
12_4049815	NA	0.661	0.661	NA	0.034	0.034	NA	0.660	NA	0.052
12_4790578	-0.143	-0.042	-0.113	0.526	0.916	0.478	-0.160	-0.049	0.466	0.913
12_4790584	-0.103	-0.041	-0.083	0.712	0.923	0.651	-0.115	-0.048	0.665	0.919
12_4790713	0.221	-0.054	0.099	0.169	0.541	0.191	0.162	-0.081	0.254	0.474
12_4942107	0.133	-0.158	-0.030	0.347	0.294	0.528	0.135	-0.188	0.348	0.238
12_7740215	1.000	0.000	0.681	0.016	1.000	0.016	NA	0.000	NA	1.000
12_9135533	0.226	0.412	0.342	0.268	0.044	0.012	0.213	0.402	0.308	0.052
12_9135668	0.000	-0.000	-0.000	1.000	1.000	1.000	NA	0.000	NA	1.000
12_9510923	0.130	0.079	0.106	0.318	0.459	0.183	-0.047	0.074	0.591	0.490
12_11440942	0.288	0.229	0.258	0.192	0.262	0.067	0.279	-0.065	0.227	0.860
12_11493463	0.057	0.172	0.107	0.569	0.347	0.221	0.022	0.165	0.622	0.354
12_11493509	0.263	0.303	0.280	0.114	0.086	0.017	0.268	0.289	0.135	0.119
12_12424449	-0.041	-0.070	-0.058	0.932	0.800	0.745	-0.051	-0.048	0.914	0.909
12_12424471	-0.111	-0.070	-0.091	0.348	0.472	0.285	-0.073	0.019	0.504	0.627
12_14241109	0.260	0.063	0.161	0.127	0.529	0.086	0.195	0.034	0.293	0.595
12_14241113	0.089	-0.095	-0.019	0.501	0.482	0.600	0.068	-0.245	0.579	0.207
12_20739253	-0.075	0.095	0.027	0.822	0.480	0.580	-0.071	-0.123	0.865	0.605
12_20902634	-0.108	-0.200	-0.164	0.691	0.379	0.264	-0.088	-0.182	0.783	0.451
12_22032256	-0.148	-0.082	-0.121	0.514	0.805	0.415	-0.154	-0.088	0.518	0.767
12_22032257	-0.129	-0.065	-0.104	0.548	0.852	0.470	-0.132	-0.069	0.608	0.850
12_31303231	0.355	0.303	0.331	0.073	0.137	0.014	0.333	0.151	0.085	0.403
12_31303434	0.343	0.074	0.210	0.034	0.444	0.054	0.253	0.060	0.119	0.487
12_32600685	-0.014	NA	-0.014	0.983	NA	0.983	0.000	NA	1.000	NA
12_34388383	-0.000	-0.059	-0.049	1.000	0.863	0.863	0.000	-0.065	1.000	0.863
12_34388526	-0.014	NA	-0.014	0.991	NA	0.991	NA	NA	NA	NA
12_34388552	-0.125	0.060	-0.026	0.587	0.563	0.500	-0.127	-0.138	0.596	0.556
12_34434160	0.094	0.505	0.321	0.497	0.007	0.003	0.022	0.494	0.668	0.011
12_36096853	NA	0.659	0.659	NA	0.065	0.065	NA	0.659	NA	0.059
12_36097189	-0.134	0.057	-0.034	0.511	0.595	0.582	-0.127	0.039	0.596	0.605
12_39464736	-0.000	1.000	0.655	1.000	0.014	0.014	-0.000	NA	1.000	NA
12_41810721	-0.072	-0.029	-0.057	0.821	0.958	0.787	-0.071	-0.016	0.833	0.984
12_41810781	-0.156	-0.027	-0.127	0.413	0.965	0.399	-0.154	-0.031	0.524	0.956
12_43760657	-0.014	NA	-0.014	0.989	NA	0.989	-0.017	NA	0.986	NA
12_43860339	-0.023	NA	-0.027	0.981	NA	0.981	-0.026	NA	0.981	NA
13_2253378	-0.029	-0.101	-0.080	0.946	0.668	0.633	-0.033	-0.119	0.948	0.632
13_4805831	0.094	0.221	0.151	0.421	0.174	0.141	-0.054	0.205	0.601	0.242
